Date (Weeks Starting 1st day of Year),Merchant,MV - Accepted (MCCY)
3/1/17,SAKS.COM,78620
3/2/17,BARNEYS NEW YORK,15446
3/2/17,NORDSTROM,93443
3/2/17,SAKS.COM,79368
3/3/17,BARNEYS NEW YORK,38788
3/3/17,NORDSTROM,93784
3/3/17,SAKS.COM,63514
3/4/17,BARNEYS NEW YORK,20992
3/4/17,NORDSTROM,96419
3/4/17,SAKS.COM,65445
3/5/17,BARNEYS NEW YORK,20930
3/5/17,NORDSTROM,103522
3/5/17,SAKS.COM,66486
3/6/17,BARNEYS NEW YORK,18557
3/6/17,NORDSTROM,94523
3/6/17,SAKS.COM,69168
3/7/17,BARNEYS NEW YORK,19024
3/7/17,NORDSTROM,84688
3/7/17,SAKS.COM,88495
3/8/17,BARNEYS NEW YORK,16890
3/8/17,NORDSTROM,107532
3/8/17,SAKS.COM,79592
3/9/17,BARNEYS NEW YORK,17293
3/9/17,NORDSTROM,92781
3/9/17,SAKS.COM,92539
3/10/17,BARNEYS NEW YORK,8865
3/10/17,NORDSTROM,104686
3/10/17,SAKS.COM,88149
3/11/17,BARNEYS NEW YORK,18794
3/11/17,NORDSTROM,100879
3/11/17,SAKS.COM,65954
3/12/17,BARNEYS NEW YORK,32316
3/12/17,NORDSTROM,106898
3/12/17,SAKS.COM,93035
3/13/17,BARNEYS NEW YORK,27765
3/13/17,NORDSTROM,123783
3/13/17,SAKS.COM,60589
3/14/17,BARNEYS NEW YORK,15369
3/14/17,NORDSTROM,97868
3/14/17,SAKS.COM,55247
3/15/17,BARNEYS NEW YORK,22520
3/15/17,NORDSTROM,88237
3/15/17,SAKS.COM,96897
3/16/17,BARNEYS NEW YORK,17955
3/16/17,NORDSTROM,90342
3/16/17,SAKS.COM,83101
3/17/17,BARNEYS NEW YORK,24540
3/17/17,NORDSTROM,89959
3/17/17,SAKS.COM,97208
3/18/17,BARNEYS NEW YORK,18469
3/18/17,NORDSTROM,105643
3/18/17,SAKS.COM,95699
3/19/17,BARNEYS NEW YORK,23458
3/19/17,NORDSTROM,126311
3/19/17,SAKS.COM,75003
3/20/17,BARNEYS NEW YORK,19982
3/20/17,NORDSTROM,101007
3/20/17,SAKS.COM,64953
3/21/17,BARNEYS NEW YORK,24088
3/21/17,NORDSTROM,103591
3/21/17,SAKS.COM,51093
3/22/17,BARNEYS NEW YORK,21820
3/22/17,NORDSTROM,104154
3/22/17,SAKS.COM,83221
3/23/17,BARNEYS NEW YORK,16041
3/23/17,NORDSTROM,99095
3/23/17,SAKS.COM,57563
3/24/17,BARNEYS NEW YORK,13644
3/24/17,NORDSTROM,95402
3/24/17,SAKS.COM,86956
3/25/17,BARNEYS NEW YORK,21464
3/25/17,NORDSTROM,97278
3/25/17,SAKS.COM,103077
3/26/17,BARNEYS NEW YORK,19219
3/26/17,NORDSTROM,111808
3/26/17,SAKS.COM,62738
3/27/17,BARNEYS NEW YORK,13697
3/27/17,NORDSTROM,98494
3/27/17,SAKS.COM,112351
3/28/17,BARNEYS NEW YORK,16372
3/28/17,NORDSTROM,105980
3/28/17,SAKS.COM,117359
3/29/17,BARNEYS NEW YORK,19471
3/29/17,NORDSTROM,97590
3/29/17,SAKS.COM,116525
3/30/17,BARNEYS NEW YORK,23571
3/30/17,NORDSTROM,98401
3/30/17,SAKS.COM,99064
3/31/17,BARNEYS NEW YORK,18943
3/31/17,NORDSTROM,93230
3/31/17,SAKS.COM,89783
4/1/17,BARNEYS NEW YORK,23485
4/1/17,NORDSTROM,93556
4/1/17,SAKS.COM,98663
4/2/17,BARNEYS NEW YORK,19544
4/2/17,NORDSTROM,108512
4/2/17,SAKS.COM,117812
4/3/17,BARNEYS NEW YORK,12029
4/3/17,NORDSTROM,113735
4/3/17,SAKS.COM,103279
4/4/17,BARNEYS NEW YORK,25520
4/4/17,NORDSTROM,109397
4/4/17,SAKS.COM,82845
4/5/17,BARNEYS NEW YORK,24241
4/5/17,NORDSTROM,102772
4/5/17,SAKS.COM,65861
4/6/17,BARNEYS NEW YORK,21531
4/6/17,NORDSTROM,97181
4/6/17,SAKS.COM,96553
4/7/17,BARNEYS NEW YORK,17609
4/7/17,NORDSTROM,91595
4/7/17,SAKS.COM,101322
4/8/17,BARNEYS NEW YORK,20920
4/8/17,NORDSTROM,111640
4/8/17,SAKS.COM,54913
4/9/17,BARNEYS NEW YORK,27635
4/9/17,NORDSTROM,106224
4/9/17,SAKS.COM,69790
4/10/17,BARNEYS NEW YORK,19509
4/10/17,NORDSTROM,117227
4/10/17,SAKS.COM,71247
4/11/17,BARNEYS NEW YORK,26353
4/11/17,NORDSTROM,85198
4/11/17,SAKS.COM,51281
4/12/17,BARNEYS NEW YORK,24877
4/12/17,NORDSTROM,106793
4/12/17,SAKS.COM,84919
4/13/17,BARNEYS NEW YORK,14805
4/13/17,NORDSTROM,85912
4/13/17,SAKS.COM,97627
4/14/17,BARNEYS NEW YORK,15773
4/14/17,NORDSTROM,104333
4/14/17,SAKS.COM,60335
4/15/17,BARNEYS NEW YORK,20140
4/15/17,NORDSTROM,101483
4/15/17,SAKS.COM,62201
4/16/17,BARNEYS NEW YORK,17976
4/16/17,NORDSTROM,113455
4/16/17,SAKS.COM,43770
4/17/17,BARNEYS NEW YORK,13520
4/17/17,NORDSTROM,119352
4/17/17,SAKS.COM,75306
4/18/17,BARNEYS NEW YORK,22258
4/18/17,NORDSTROM,104024
4/18/17,SAKS.COM,62085
4/19/17,BARNEYS NEW YORK,29238
4/19/17,NORDSTROM,107257
4/19/17,SAKS.COM,57272
4/20/17,BARNEYS NEW YORK,16795
4/20/17,NORDSTROM,124220
4/20/17,SAKS.COM,69077
4/21/17,BARNEYS NEW YORK,20982
4/21/17,NORDSTROM,94968
4/21/17,SAKS.COM,81054
4/22/17,BARNEYS NEW YORK,22090
4/22/17,NORDSTROM,101761
4/22/17,SAKS.COM,85676
