Date (Weeks Starting 1st day of Year),Merchant,MV - Accepted (MCCY)
9/5/17,BARNEYS NEW YORK,23126
9/5/17,NORDSTROM,117641
9/5/17,SAKS.COM,69198
9/6/17,BARNEYS NEW YORK,18097
9/6/17,NORDSTROM,106002
9/6/17,SAKS.COM,76322
9/7/17,BARNEYS NEW YORK,24610
9/7/17,NORDSTROM,104708
9/7/17,SAKS.COM,65084
9/8/17,BARNEYS NEW YORK,30857
9/8/17,NORDSTROM,111299
9/8/17,SAKS.COM,69533
9/9/17,BARNEYS NEW YORK,32561
9/9/17,NORDSTROM,128968
9/9/17,SAKS.COM,70783
9/10/17,BARNEYS NEW YORK,24283
9/10/17,NORDSTROM,143517
9/10/17,SAKS.COM,75358
9/11/17,BARNEYS NEW YORK,31171
9/11/17,NORDSTROM,138225
9/11/17,SAKS.COM,74594
9/12/17,BARNEYS NEW YORK,25964
9/12/17,NORDSTROM,140424
9/12/17,SAKS.COM,89440
9/13/17,BARNEYS NEW YORK,22376
9/13/17,NORDSTROM,108680
9/13/17,SAKS.COM,104420
9/14/17,BARNEYS NEW YORK,25439
9/14/17,NORDSTROM,114405
9/14/17,SAKS.COM,90862
9/15/17,BARNEYS NEW YORK,36508
9/15/17,NORDSTROM,109042
9/15/17,SAKS.COM,122280
9/16/17,BARNEYS NEW YORK,26849
9/16/17,NORDSTROM,120330
9/16/17,SAKS.COM,71685
9/17/17,BARNEYS NEW YORK,21466
9/17/17,NORDSTROM,126139
9/17/17,SAKS.COM,83380
9/18/17,BARNEYS NEW YORK,27430
9/18/17,NORDSTROM,114639
9/18/17,SAKS.COM,64157
9/19/17,BARNEYS NEW YORK,55256
9/19/17,NORDSTROM,120072
9/19/17,SAKS.COM,55032
9/20/17,BARNEYS NEW YORK,27799
9/20/17,NORDSTROM,122518
9/20/17,SAKS.COM,62441
9/21/17,BARNEYS NEW YORK,32944
9/21/17,NORDSTROM,124409
9/21/17,SAKS.COM,61062
9/22/17,BARNEYS NEW YORK,27935
9/22/17,NORDSTROM,128516
9/22/17,SAKS.COM,66768
9/23/17,BARNEYS NEW YORK,30592
9/23/17,NORDSTROM,134117
9/23/17,SAKS.COM,68367
9/24/17,BARNEYS NEW YORK,42307
9/24/17,NORDSTROM,126288
9/24/17,SAKS.COM,61096
9/25/17,BARNEYS NEW YORK,32540
9/25/17,NORDSTROM,161881
9/25/17,SAKS.COM,68076
9/26/17,BARNEYS NEW YORK,36219
9/26/17,NORDSTROM,116013
9/26/17,SAKS.COM,120693
9/27/17,BARNEYS NEW YORK,30740
9/27/17,NORDSTROM,106562
9/27/17,SAKS.COM,92261
9/28/17,BARNEYS NEW YORK,27918
9/28/17,NORDSTROM,111696
9/28/17,SAKS.COM,103511
9/29/17,BARNEYS NEW YORK,17036
9/29/17,NORDSTROM,114480
9/29/17,SAKS.COM,78953
9/30/17,BARNEYS NEW YORK,28261
9/30/17,NORDSTROM,113165
9/30/17,SAKS.COM,67677
10/1/17,BARNEYS NEW YORK,32360
10/1/17,NORDSTROM,146954
10/1/17,SAKS.COM,88555
10/2/17,BARNEYS NEW YORK,33512
10/2/17,NORDSTROM,128187
10/2/17,SAKS.COM,122420
10/3/17,BARNEYS NEW YORK,22054
10/3/17,NORDSTROM,116358
10/3/17,SAKS.COM,104767
10/4/17,BARNEYS NEW YORK,27565
10/4/17,NORDSTROM,109294
10/4/17,SAKS.COM,97093
10/5/17,BARNEYS NEW YORK,33015
10/5/17,NORDSTROM,122902
10/5/17,SAKS.COM,112835
10/6/17,BARNEYS NEW YORK,25198
10/6/17,NORDSTROM,112925
10/6/17,SAKS.COM,94038
10/7/17,BARNEYS NEW YORK,25032
10/7/17,NORDSTROM,113344
10/7/17,SAKS.COM,99043
10/8/17,BARNEYS NEW YORK,33597
10/8/17,NORDSTROM,124723
10/8/17,SAKS.COM,106185
10/9/17,BARNEYS NEW YORK,24252
10/9/17,NORDSTROM,121434
10/9/17,SAKS.COM,66395
10/10/17,BARNEYS NEW YORK,51766
10/10/17,NORDSTROM,115349
10/10/17,SAKS.COM,54096
10/11/17,BARNEYS NEW YORK,30367
10/11/17,NORDSTROM,117170
10/11/17,SAKS.COM,64238
10/12/17,BARNEYS NEW YORK,34162
10/12/17,NORDSTROM,124229
10/12/17,SAKS.COM,118726
10/13/17,BARNEYS NEW YORK,35897
10/13/17,NORDSTROM,111772
10/13/17,SAKS.COM,142753
10/14/17,BARNEYS NEW YORK,37632
10/14/17,NORDSTROM,135467
10/14/17,SAKS.COM,76099
10/15/17,BARNEYS NEW YORK,15062
10/15/17,NORDSTROM,134112
10/15/17,SAKS.COM,86739
10/16/17,BARNEYS NEW YORK,25922
10/16/17,NORDSTROM,126129
10/16/17,SAKS.COM,110983
10/17/17,BARNEYS NEW YORK,25184
10/17/17,NORDSTROM,116589
10/17/17,SAKS.COM,74272
10/18/17,BARNEYS NEW YORK,29956
10/18/17,NORDSTROM,110135
10/18/17,SAKS.COM,67937
10/19/17,BARNEYS NEW YORK,45129
10/19/17,NORDSTROM,108815
10/19/17,SAKS.COM,57095
10/20/17,BARNEYS NEW YORK,19785
10/20/17,NORDSTROM,96433
10/20/17,SAKS.COM,62512
10/21/17,BARNEYS NEW YORK,17220
10/21/17,NORDSTROM,116595
10/21/17,SAKS.COM,59668
10/22/17,BARNEYS NEW YORK,46745
10/22/17,NORDSTROM,114131
10/22/17,SAKS.COM,66544
10/23/17,BARNEYS NEW YORK,26593
10/23/17,NORDSTROM,122854
10/23/17,SAKS.COM,82344
10/24/17,BARNEYS NEW YORK,25761
10/24/17,NORDSTROM,103614
10/24/17,SAKS.COM,62961
10/25/17,BARNEYS NEW YORK,27401
10/25/17,NORDSTROM,115905
10/25/17,SAKS.COM,57368
10/26/17,BARNEYS NEW YORK,29584
10/26/17,NORDSTROM,114423
10/26/17,SAKS.COM,83148
10/27/17,BARNEYS NEW YORK,38686
10/27/17,NORDSTROM,129200
10/27/17,SAKS.COM,90217
10/28/17,BARNEYS NEW YORK,26312
10/28/17,NORDSTROM,111931
10/28/17,SAKS.COM,97802
10/29/17,BARNEYS NEW YORK,27927
10/29/17,NORDSTROM,127039
10/29/17,SAKS.COM,77626
10/30/17,BARNEYS NEW YORK,22904
10/30/17,NORDSTROM,130162
10/30/17,SAKS.COM,117712
10/31/17,BARNEYS NEW YORK,18053
10/31/17,NORDSTROM,135756
10/31/17,SAKS.COM,91403
11/1/17,BARNEYS NEW YORK,34974
11/1/17,NORDSTROM,117188
11/1/17,SAKS.COM,103573
11/2/17,BARNEYS NEW YORK,35611
11/2/17,NORDSTROM,159927
11/2/17,SAKS.COM,98213
11/3/17,BARNEYS NEW YORK,41896
11/3/17,NORDSTROM,132294
11/3/17,SAKS.COM,93921
11/4/17,BARNEYS NEW YORK,31036
11/4/17,NORDSTROM,145018
11/4/17,SAKS.COM,96886
11/5/17,BARNEYS NEW YORK,30382
11/5/17,NORDSTROM,161372
11/5/17,SAKS.COM,119870
11/6/17,BARNEYS NEW YORK,45472
11/6/17,NORDSTROM,142350
11/6/17,SAKS.COM,111930
11/7/17,BARNEYS NEW YORK,24301
11/7/17,NORDSTROM,145977
11/7/17,SAKS.COM,74446
11/8/17,BARNEYS NEW YORK,41913
11/8/17,NORDSTROM,126042
11/8/17,SAKS.COM,127502
11/9/17,BARNEYS NEW YORK,44359
11/9/17,NORDSTROM,137601
11/9/17,SAKS.COM,147923
11/10/17,BARNEYS NEW YORK,30661
11/10/17,NORDSTROM,133374
11/10/17,SAKS.COM,131196
11/11/17,BARNEYS NEW YORK,33230
11/11/17,NORDSTROM,137390
11/11/17,SAKS.COM,91476
11/12/17,BARNEYS NEW YORK,38835
11/12/17,NORDSTROM,148705
11/12/17,SAKS.COM,92169
11/13/17,BARNEYS NEW YORK,35806
11/13/17,NORDSTROM,169246
11/13/17,SAKS.COM,65769
11/14/17,BARNEYS NEW YORK,46898
11/14/17,NORDSTROM,124057
11/14/17,SAKS.COM,87456
11/15/17,BARNEYS NEW YORK,40299
11/15/17,NORDSTROM,131141
11/15/17,SAKS.COM,114281
11/16/17,BARNEYS NEW YORK,34989
11/16/17,NORDSTROM,140161
11/16/17,SAKS.COM,90517
11/17/17,BARNEYS NEW YORK,27773
11/17/17,NORDSTROM,129845
11/17/17,SAKS.COM,114630
11/18/17,BARNEYS NEW YORK,36452
11/18/17,NORDSTROM,121292
11/18/17,SAKS.COM,83778
11/19/17,BARNEYS NEW YORK,38954
11/19/17,NORDSTROM,137865
11/19/17,SAKS.COM,139593
11/20/17,BARNEYS NEW YORK,36400
11/20/17,NORDSTROM,147366
11/20/17,SAKS.COM,114713
11/21/17,BARNEYS NEW YORK,113705
11/21/17,NORDSTROM,176270
11/21/17,SAKS.COM,204426
11/22/17,BARNEYS NEW YORK,79996
11/22/17,NORDSTROM,204710
11/22/17,SAKS.COM,298537
11/23/17,BARNEYS NEW YORK,122697
11/23/17,NORDSTROM,433142
11/23/17,SAKS.COM,252708
11/24/17,BARNEYS NEW YORK,129405
11/24/17,NORDSTROM,644257
11/24/17,SAKS.COM,324546
11/25/17,BARNEYS NEW YORK,78145
11/25/17,NORDSTROM,437275
11/25/17,SAKS.COM,197179
11/26/17,BARNEYS NEW YORK,63346
11/26/17,NORDSTROM,359532
11/26/17,SAKS.COM,126151
11/27/17,BARNEYS NEW YORK,97975
11/27/17,NORDSTROM,408223
11/27/17,SAKS.COM,168000
11/28/17,BARNEYS NEW YORK,63892
11/28/17,NORDSTROM,276539
11/28/17,SAKS.COM,116597
11/29/17,BARNEYS NEW YORK,35072
11/29/17,NORDSTROM,119865
11/29/17,SAKS.COM,105327
11/30/17,BARNEYS NEW YORK,28842
11/30/17,NORDSTROM,132264
11/30/17,SAKS.COM,118044
12/1/17,BARNEYS NEW YORK,76247
12/1/17,NORDSTROM,124507
12/1/17,SAKS.COM,104174
12/2/17,BARNEYS NEW YORK,52732
12/2/17,NORDSTROM,142852
12/2/17,SAKS.COM,107297
12/3/17,BARNEYS NEW YORK,44358
12/3/17,NORDSTROM,164214
12/3/17,SAKS.COM,148556
12/4/17,BARNEYS NEW YORK,43399
12/4/17,NORDSTROM,152592
12/4/17,SAKS.COM,115819
12/5/17,BARNEYS NEW YORK,43201
12/5/17,NORDSTROM,168383
12/5/17,SAKS.COM,134513
12/6/17,BARNEYS NEW YORK,48352
12/6/17,NORDSTROM,171168
12/6/17,SAKS.COM,120792
12/7/17,BARNEYS NEW YORK,31391
12/7/17,NORDSTROM,140258
12/7/17,SAKS.COM,128468
12/8/17,BARNEYS NEW YORK,78187
12/8/17,NORDSTROM,146296
12/8/17,SAKS.COM,121360
12/9/17,BARNEYS NEW YORK,71471
12/9/17,NORDSTROM,145649
12/9/17,SAKS.COM,112645
12/10/17,BARNEYS NEW YORK,56073
12/10/17,NORDSTROM,162582
12/10/17,SAKS.COM,137551
12/11/17,BARNEYS NEW YORK,39147
12/11/17,NORDSTROM,173506
12/11/17,SAKS.COM,137919
12/12/17,BARNEYS NEW YORK,50876
12/12/17,NORDSTROM,154286
12/12/17,SAKS.COM,217768
12/13/17,BARNEYS NEW YORK,65716
12/13/17,NORDSTROM,150257
12/13/17,SAKS.COM,193711
12/14/17,BARNEYS NEW YORK,49014
12/14/17,NORDSTROM,119682
12/14/17,SAKS.COM,168785
12/15/17,BARNEYS NEW YORK,52433
12/15/17,NORDSTROM,124078
12/15/17,SAKS.COM,170655
12/16/17,BARNEYS NEW YORK,29048
12/16/17,NORDSTROM,117579
12/16/17,SAKS.COM,166474
12/17/17,BARNEYS NEW YORK,40730
12/17/17,NORDSTROM,116768
12/17/17,SAKS.COM,170719
12/18/17,BARNEYS NEW YORK,41206
12/18/17,NORDSTROM,106277
12/18/17,SAKS.COM,128539
12/19/17,BARNEYS NEW YORK,26352
12/19/17,NORDSTROM,83165
12/19/17,SAKS.COM,73476
12/20/17,BARNEYS NEW YORK,46648
12/20/17,NORDSTROM,88343
12/20/17,SAKS.COM,70353
12/21/17,BARNEYS NEW YORK,30350
12/21/17,NORDSTROM,79429
12/21/17,SAKS.COM,51553
12/22/17,BARNEYS NEW YORK,34490
12/22/17,NORDSTROM,74994
12/22/17,SAKS.COM,85035
12/23/17,BARNEYS NEW YORK,24659
12/23/17,NORDSTROM,70838
12/23/17,SAKS.COM,117555
12/24/17,BARNEYS NEW YORK,36921
12/24/17,NORDSTROM,65501
12/24/17,SAKS.COM,138769
12/25/17,BARNEYS NEW YORK,24676
12/25/17,NORDSTROM,80835
12/25/17,SAKS.COM,265513
12/26/17,BARNEYS NEW YORK,26695
12/26/17,NORDSTROM,222096
12/26/17,SAKS.COM,323012
12/27/17,BARNEYS NEW YORK,29114
12/27/17,NORDSTROM,189652
12/27/17,SAKS.COM,167515
12/28/17,BARNEYS NEW YORK,31967
12/28/17,NORDSTROM,150770
12/28/17,SAKS.COM,107092
12/29/17,BARNEYS NEW YORK,20221
12/29/17,NORDSTROM,142418
12/29/17,SAKS.COM,102502
12/30/17,BARNEYS NEW YORK,19325
12/30/17,NORDSTROM,141451
12/30/17,SAKS.COM,155257
12/31/17,BARNEYS NEW YORK,32374
12/31/17,NORDSTROM,114001
12/31/17,SAKS.COM,158161
1/1/18,BARNEYS NEW YORK,37089
1/1/18,NORDSTROM,89029
1/1/18,SAKS.COM,107745
1/2/18,BARNEYS NEW YORK,35569
1/2/18,NORDSTROM,132968
1/2/18,SAKS.COM,115480
1/3/18,BARNEYS NEW YORK,34547
1/3/18,NORDSTROM,130305
1/3/18,SAKS.COM,124603
1/4/18,BARNEYS NEW YORK,42078
1/4/18,NORDSTROM,120270
1/4/18,SAKS.COM,130537
1/5/18,BARNEYS NEW YORK,32791
1/5/18,NORDSTROM,118547
1/5/18,SAKS.COM,132316
1/6/18,BARNEYS NEW YORK,28942
1/6/18,NORDSTROM,117532
1/6/18,SAKS.COM,121717
1/7/18,BARNEYS NEW YORK,10052
1/7/18,NORDSTROM,116743
1/7/18,SAKS.COM,125168
1/8/18,BARNEYS NEW YORK,20082
1/8/18,NORDSTROM,117317
1/8/18,SAKS.COM,115105
1/9/18,BARNEYS NEW YORK,24489
1/9/18,NORDSTROM,124385
1/9/18,SAKS.COM,104266
1/10/18,BARNEYS NEW YORK,20453
1/10/18,NORDSTROM,125058
1/10/18,SAKS.COM,117974
1/11/18,BARNEYS NEW YORK,41252
1/11/18,NORDSTROM,122087
1/11/18,SAKS.COM,87040
1/12/18,BARNEYS NEW YORK,35819
1/12/18,NORDSTROM,124941
1/12/18,SAKS.COM,144000
1/13/18,BARNEYS NEW YORK,47389
1/13/18,NORDSTROM,126986
1/13/18,SAKS.COM,136993
1/14/18,BARNEYS NEW YORK,20414
1/14/18,NORDSTROM,130215
1/14/18,SAKS.COM,87947
1/15/18,BARNEYS NEW YORK,24928
1/15/18,NORDSTROM,133622
1/15/18,SAKS.COM,79800
1/16/18,BARNEYS NEW YORK,17640
1/16/18,NORDSTROM,126172
1/16/18,SAKS.COM,99295
1/17/18,BARNEYS NEW YORK,23617
1/17/18,NORDSTROM,121416
1/17/18,SAKS.COM,87346
1/18/18,BARNEYS NEW YORK,15886
1/18/18,NORDSTROM,122135
1/18/18,SAKS.COM,48684
1/19/18,BARNEYS NEW YORK,50959
1/19/18,NORDSTROM,121948
1/19/18,SAKS.COM,48939
1/20/18,BARNEYS NEW YORK,53195
1/20/18,NORDSTROM,125574
1/20/18,SAKS.COM,45202
1/21/18,BARNEYS NEW YORK,36614
1/21/18,NORDSTROM,133683
1/21/18,SAKS.COM,36711
1/22/18,BARNEYS NEW YORK,22316
1/22/18,NORDSTROM,122730
1/22/18,SAKS.COM,89955
1/23/18,BARNEYS NEW YORK,43225
1/23/18,NORDSTROM,120208
1/23/18,SAKS.COM,117953
1/24/18,BARNEYS NEW YORK,42284
1/24/18,NORDSTROM,137823
1/24/18,SAKS.COM,192945
1/25/18,BARNEYS NEW YORK,24521
1/25/18,NORDSTROM,139599
1/25/18,SAKS.COM,143421
1/26/18,BARNEYS NEW YORK,56066
1/26/18,NORDSTROM,117350
1/26/18,SAKS.COM,96751
1/27/18,BARNEYS NEW YORK,42959
1/27/18,NORDSTROM,116504
1/27/18,SAKS.COM,87267
1/28/18,BARNEYS NEW YORK,31830
1/28/18,NORDSTROM,128795
1/28/18,SAKS.COM,88662
1/29/18,BARNEYS NEW YORK,45805
1/29/18,NORDSTROM,122152
1/29/18,SAKS.COM,105161
1/30/18,BARNEYS NEW YORK,22522
1/30/18,NORDSTROM,128315
1/30/18,SAKS.COM,109352
1/31/18,BARNEYS NEW YORK,16827
1/31/18,NORDSTROM,114555
1/31/18,SAKS.COM,102567
2/1/18,BARNEYS NEW YORK,34807
2/1/18,NORDSTROM,108917
2/1/18,SAKS.COM,97236
2/2/18,BARNEYS NEW YORK,29355
2/2/18,NORDSTROM,106495
2/2/18,SAKS.COM,81803
2/3/18,BARNEYS NEW YORK,42153
2/3/18,NORDSTROM,127331
2/3/18,SAKS.COM,93880
2/4/18,BARNEYS NEW YORK,32894
2/4/18,NORDSTROM,132514
2/4/18,SAKS.COM,83196
2/5/18,BARNEYS NEW YORK,26979
2/5/18,NORDSTROM,99314
2/5/18,SAKS.COM,67013
2/6/18,BARNEYS NEW YORK,33954
2/6/18,NORDSTROM,110950
2/6/18,SAKS.COM,99993
2/7/18,BARNEYS NEW YORK,15389
2/7/18,NORDSTROM,126721
2/7/18,SAKS.COM,97007
2/8/18,BARNEYS NEW YORK,16953
2/8/18,NORDSTROM,129812
2/8/18,SAKS.COM,122181
2/9/18,BARNEYS NEW YORK,28905
2/9/18,NORDSTROM,93631
2/9/18,SAKS.COM,89727
2/10/18,BARNEYS NEW YORK,15212
2/10/18,NORDSTROM,107264
2/10/18,SAKS.COM,76302
2/11/18,BARNEYS NEW YORK,29722
2/11/18,NORDSTROM,134324
2/11/18,SAKS.COM,81322
2/12/18,BARNEYS NEW YORK,23298
2/12/18,NORDSTROM,118914
2/12/18,SAKS.COM,88149
2/13/18,BARNEYS NEW YORK,17114
2/13/18,NORDSTROM,106323
2/13/18,SAKS.COM,91333
2/14/18,BARNEYS NEW YORK,24291
2/14/18,NORDSTROM,96237
2/14/18,SAKS.COM,98107
2/15/18,BARNEYS NEW YORK,12609
2/15/18,NORDSTROM,98981
2/15/18,SAKS.COM,148647
2/16/18,BARNEYS NEW YORK,17607
2/16/18,NORDSTROM,112730
2/16/18,SAKS.COM,96636
2/17/18,BARNEYS NEW YORK,28958
2/17/18,NORDSTROM,103222
2/17/18,SAKS.COM,69222
2/18/18,BARNEYS NEW YORK,21656
2/18/18,NORDSTROM,115887
2/18/18,SAKS.COM,71093
2/19/18,BARNEYS NEW YORK,19147
2/19/18,NORDSTROM,127085
2/19/18,SAKS.COM,62571
2/20/18,BARNEYS NEW YORK,27966
2/20/18,NORDSTROM,137213
2/20/18,SAKS.COM,61878
2/21/18,BARNEYS NEW YORK,26053
2/21/18,NORDSTROM,120634
2/21/18,SAKS.COM,85979
2/22/18,BARNEYS NEW YORK,23056
2/22/18,NORDSTROM,120283
2/22/18,SAKS.COM,75167
2/23/18,BARNEYS NEW YORK,15775
2/23/18,NORDSTROM,119178
2/23/18,SAKS.COM,77864
2/24/18,BARNEYS NEW YORK,29754
2/24/18,NORDSTROM,121753
2/24/18,SAKS.COM,82463
2/25/18,BARNEYS NEW YORK,18590
2/25/18,NORDSTROM,146534
2/25/18,SAKS.COM,82096
2/26/18,BARNEYS NEW YORK,19145
2/26/18,NORDSTROM,135863
2/26/18,SAKS.COM,69928
2/27/18,BARNEYS NEW YORK,23645
2/27/18,NORDSTROM,133164
2/27/18,SAKS.COM,114547
2/28/18,BARNEYS NEW YORK,19471
2/28/18,NORDSTROM,128946
2/28/18,SAKS.COM,130481
3/1/18,BARNEYS NEW YORK,31156
3/1/18,NORDSTROM,108679
3/1/18,SAKS.COM,92314
3/2/18,BARNEYS NEW YORK,34844
3/2/18,NORDSTROM,112700
3/2/18,SAKS.COM,61004
3/3/18,BARNEYS NEW YORK,18466
3/3/18,NORDSTROM,119919
3/3/18,SAKS.COM,70351
3/4/18,BARNEYS NEW YORK,29124
3/4/18,NORDSTROM,115019
3/4/18,SAKS.COM,68624
3/5/18,BARNEYS NEW YORK,22653
3/5/18,NORDSTROM,105786
3/5/18,SAKS.COM,78705
3/6/18,BARNEYS NEW YORK,27297
3/6/18,NORDSTROM,115088
3/6/18,SAKS.COM,91304
3/7/18,BARNEYS NEW YORK,21783
3/7/18,NORDSTROM,119966
3/7/18,SAKS.COM,75977
3/8/18,BARNEYS NEW YORK,12344
3/8/18,NORDSTROM,125917
3/8/18,SAKS.COM,71214
3/9/18,BARNEYS NEW YORK,20432
3/9/18,NORDSTROM,117811
3/9/18,SAKS.COM,75964
3/10/18,BARNEYS NEW YORK,10712
3/10/18,NORDSTROM,110197
3/10/18,SAKS.COM,72385
3/11/18,BARNEYS NEW YORK,21147
3/11/18,NORDSTROM,128613
3/11/18,SAKS.COM,84863
3/12/18,BARNEYS NEW YORK,23586
3/12/18,NORDSTROM,129721
3/12/18,SAKS.COM,105014
3/13/18,BARNEYS NEW YORK,29274
3/13/18,NORDSTROM,115485
3/13/18,SAKS.COM,123421
3/14/18,BARNEYS NEW YORK,24678
3/14/18,NORDSTROM,115811
3/14/18,SAKS.COM,116103
3/15/18,BARNEYS NEW YORK,28372
3/15/18,NORDSTROM,127568
3/15/18,SAKS.COM,124359
3/16/18,BARNEYS NEW YORK,18820
3/16/18,NORDSTROM,117024
3/16/18,SAKS.COM,128230
3/17/18,BARNEYS NEW YORK,38039
3/17/18,NORDSTROM,120068
3/17/18,SAKS.COM,75008
3/18/18,BARNEYS NEW YORK,35975
3/18/18,NORDSTROM,120270
3/18/18,SAKS.COM,108607
3/19/18,BARNEYS NEW YORK,40956
3/19/18,NORDSTROM,125449
3/19/18,SAKS.COM,91570
3/20/18,BARNEYS NEW YORK,40387
3/20/18,NORDSTROM,122451
3/20/18,SAKS.COM,81041
3/21/18,BARNEYS NEW YORK,31314
3/21/18,NORDSTROM,119650
3/21/18,SAKS.COM,93770
3/22/18,BARNEYS NEW YORK,44243
3/22/18,NORDSTROM,115144
3/22/18,SAKS.COM,105727
3/23/18,BARNEYS NEW YORK,26684
3/23/18,NORDSTROM,118002
3/23/18,SAKS.COM,85701
3/24/18,BARNEYS NEW YORK,29161
3/24/18,NORDSTROM,148265
3/24/18,SAKS.COM,68021
3/25/18,BARNEYS NEW YORK,35858
3/25/18,NORDSTROM,140588
3/25/18,SAKS.COM,72612
3/26/18,BARNEYS NEW YORK,32801
3/26/18,NORDSTROM,117363
3/26/18,SAKS.COM,73220
3/27/18,BARNEYS NEW YORK,22248
3/27/18,NORDSTROM,111178
3/27/18,SAKS.COM,123194
3/28/18,BARNEYS NEW YORK,20879
3/28/18,NORDSTROM,104998
3/28/18,SAKS.COM,85405
3/29/18,BARNEYS NEW YORK,36123
3/29/18,NORDSTROM,120976
3/29/18,SAKS.COM,84369
3/30/18,BARNEYS NEW YORK,28174
3/30/18,NORDSTROM,106788
3/30/18,SAKS.COM,144239
3/31/18,BARNEYS NEW YORK,23925
3/31/18,NORDSTROM,98356
3/31/18,SAKS.COM,132565
4/1/18,BARNEYS NEW YORK,38204
4/1/18,NORDSTROM,113403
4/1/18,SAKS.COM,78783
4/2/18,BARNEYS NEW YORK,28836
4/2/18,NORDSTROM,123784
4/2/18,SAKS.COM,121503
4/3/18,BARNEYS NEW YORK,26846
4/3/18,NORDSTROM,124202
4/3/18,SAKS.COM,150226
4/4/18,BARNEYS NEW YORK,28265
4/4/18,NORDSTROM,124275
4/4/18,SAKS.COM,144318
4/5/18,BARNEYS NEW YORK,22327
4/5/18,NORDSTROM,143025
4/5/18,SAKS.COM,128053
4/6/18,BARNEYS NEW YORK,22750
4/6/18,NORDSTROM,112597
4/6/18,SAKS.COM,101303
4/7/18,BARNEYS NEW YORK,36336
4/7/18,NORDSTROM,130857
4/7/18,SAKS.COM,101406
4/8/18,BARNEYS NEW YORK,27821
4/8/18,NORDSTROM,149569
4/8/18,SAKS.COM,131990
4/9/18,BARNEYS NEW YORK,28696
4/9/18,NORDSTROM,132405
4/9/18,SAKS.COM,128688
4/10/18,BARNEYS NEW YORK,25745
4/10/18,NORDSTROM,126755
4/10/18,SAKS.COM,95203
4/11/18,BARNEYS NEW YORK,28269
4/11/18,NORDSTROM,135526
4/11/18,SAKS.COM,60642
4/12/18,BARNEYS NEW YORK,14878
4/12/18,NORDSTROM,127322
4/12/18,SAKS.COM,70650
4/13/18,BARNEYS NEW YORK,18371
4/13/18,NORDSTROM,114709
4/13/18,SAKS.COM,82833
4/14/18,BARNEYS NEW YORK,30839
4/14/18,NORDSTROM,133287
4/14/18,SAKS.COM,89621
4/15/18,BARNEYS NEW YORK,29180
4/15/18,NORDSTROM,171386
4/15/18,SAKS.COM,97720
4/16/18,BARNEYS NEW YORK,26249
4/16/18,NORDSTROM,146568
4/16/18,SAKS.COM,76360
4/17/18,BARNEYS NEW YORK,30253
4/17/18,NORDSTROM,117515
4/17/18,SAKS.COM,54840
4/18/18,BARNEYS NEW YORK,29121
4/18/18,NORDSTROM,126925
4/18/18,SAKS.COM,127292
4/19/18,BARNEYS NEW YORK,46570
4/19/18,NORDSTROM,112826
4/19/18,SAKS.COM,164956
4/20/18,BARNEYS NEW YORK,27785
4/20/18,NORDSTROM,111238
4/20/18,SAKS.COM,104968
4/21/18,BARNEYS NEW YORK,20839
4/21/18,NORDSTROM,128164
4/21/18,SAKS.COM,61204
4/22/18,BARNEYS NEW YORK,17203
4/22/18,NORDSTROM,145583
4/22/18,SAKS.COM,57346
4/23/18,BARNEYS NEW YORK,32491
4/23/18,NORDSTROM,133785
4/23/18,SAKS.COM,77442
4/24/18,BARNEYS NEW YORK,27834
4/24/18,NORDSTROM,118361
4/24/18,SAKS.COM,85644
4/25/18,BARNEYS NEW YORK,23793
4/25/18,NORDSTROM,116840
4/25/18,SAKS.COM,73962
4/26/18,BARNEYS NEW YORK,33911
4/26/18,NORDSTROM,120140
4/26/18,SAKS.COM,98959
4/27/18,BARNEYS NEW YORK,23442
4/27/18,NORDSTROM,123042
4/27/18,SAKS.COM,89427
4/28/18,BARNEYS NEW YORK,37822
4/28/18,NORDSTROM,118230
4/28/18,SAKS.COM,68325
4/29/18,BARNEYS NEW YORK,26687
4/29/18,NORDSTROM,129938
4/29/18,SAKS.COM,110941
4/30/18,BARNEYS NEW YORK,22019
4/30/18,NORDSTROM,134376
4/30/18,SAKS.COM,150228
5/1/18,BARNEYS NEW YORK,20292
5/1/18,NORDSTROM,126945
5/1/18,SAKS.COM,97096
5/2/18,BARNEYS NEW YORK,39672
5/2/18,NORDSTROM,133906
5/2/18,SAKS.COM,132536
5/3/18,BARNEYS NEW YORK,29729
5/3/18,NORDSTROM,123035
5/3/18,SAKS.COM,144869
5/4/18,BARNEYS NEW YORK,22772
5/4/18,NORDSTROM,128253
5/4/18,SAKS.COM,147940
5/5/18,BARNEYS NEW YORK,20916
5/5/18,NORDSTROM,109367
5/5/18,SAKS.COM,57290
5/6/18,BARNEYS NEW YORK,28650
5/6/18,NORDSTROM,125839
5/6/18,SAKS.COM,74646
5/7/18,BARNEYS NEW YORK,26120
5/7/18,NORDSTROM,112169
5/7/18,SAKS.COM,120265
5/8/18,BARNEYS NEW YORK,36652
5/8/18,NORDSTROM,114170
5/8/18,SAKS.COM,122380
5/9/18,BARNEYS NEW YORK,24275
5/9/18,NORDSTROM,122159
5/9/18,SAKS.COM,111807
5/10/18,BARNEYS NEW YORK,32627
5/10/18,NORDSTROM,132121
5/10/18,SAKS.COM,107584
5/11/18,BARNEYS NEW YORK,40018
5/11/18,NORDSTROM,117066
5/11/18,SAKS.COM,119403
